DATE,IHLIDXUSTPSOFTDEVE
2021-04-07,117.37
2021-04-08,117.59
2021-04-09,117.89
2021-04-10,117.73
2021-04-11,117.63
2021-04-12,117.56
2021-04-13,117.61
2021-04-14,117.78
2021-04-15,117.87
2021-04-16,117.92
2021-04-17,118.47
2021-04-18,118.95
2021-04-19,119.41
2021-04-20,119.86
2021-04-21,120.23
2021-04-22,120.66
2021-04-23,121.07
2021-04-24,121.51
2021-04-25,121.79
2021-04-26,122.06
2021-04-27,122.36
2021-04-28,122.7
2021-04-29,123.29
2021-04-30,123.89
2021-05-01,124.36
2021-05-02,124.98
2021-05-03,125.58
2021-05-04,126.29
2021-05-05,126.94
2021-05-06,127.36
2021-05-07,127.76
2021-05-08,128.27
2021-05-09,128.64
2021-05-10,128.98
2021-05-11,129.25
2021-05-12,129.71
2021-05-13,130.15
2021-05-14,130.5
2021-05-15,130.75
2021-05-16,131.12
2021-05-17,131.54
2021-05-18,131.75
2021-05-19,131.67
2021-05-20,131.73
2021-05-21,131.81
2021-05-22,131.43
2021-05-23,131.47
2021-05-24,131.2
2021-05-25,131.04
2021-05-26,130.88
2021-05-27,130.71
2021-05-28,130.61
2021-05-29,131.09
2021-05-30,131.17
2021-05-31,131.52
2021-06-01,131.66
2021-06-02,132.14
2021-06-03,132.44
2021-06-04,132.93
2021-06-05,133.28
2021-06-06,133.68
2021-06-07,134.1
2021-06-08,134.48
2021-06-09,134.84
2021-06-10,135.19
2021-06-11,135.42
2021-06-12,135.54
2021-06-13,135.73
2021-06-14,136.01
2021-06-15,136.48
2021-06-16,136.68
2021-06-17,136.93
2021-06-18,136.89
2021-06-19,137.15
2021-06-20,137.16
2021-06-21,137.15
2021-06-22,137.13
2021-06-23,137.25
2021-06-24,137.32
2021-06-25,137.56
2021-06-26,137.97
2021-06-27,138.21
2021-06-28,138.5
2021-06-29,138.87
2021-06-30,139.13
2021-07-01,139.39
2021-07-02,139.62
2021-07-03,139.63
2021-07-04,139.94
2021-07-05,140.19
2021-07-06,140.51
2021-07-07,140.84
2021-07-08,141.21
2021-07-09,141.75
2021-07-10,142.04
2021-07-11,142.29
2021-07-12,142.39
2021-07-13,142.55
2021-07-14,142.82
2021-07-15,143.13
2021-07-16,143.26
2021-07-17,143.46
2021-07-18,143.92
2021-07-19,144.53
2021-07-20,144.99
2021-07-21,145.36
2021-07-22,145.7
2021-07-23,146.3
2021-07-24,146.91
2021-07-25,147.46
2021-07-26,147.87
2021-07-27,148.26
2021-07-28,148.59
2021-07-29,149.0
2021-07-30,149.26
2021-07-31,149.68
2021-08-01,149.76
2021-08-02,149.93
2021-08-03,150.18
2021-08-04,150.57
2021-08-05,150.9
2021-08-06,151.22
2021-08-07,150.79
2021-08-08,151.1
2021-08-09,151.41
2021-08-10,151.86
2021-08-11,152.28
2021-08-12,152.67
2021-08-13,153.1
2021-08-14,154.26
2021-08-15,154.88
2021-08-16,155.44
2021-08-17,155.99
2021-08-18,155.99
2021-08-19,156.47
2021-08-20,157.08
2021-08-21,158.37
2021-08-22,159.77
2021-08-23,161.25
2021-08-24,162.51
2021-08-25,164.53
2021-08-26,166.18
2021-08-27,167.53
2021-08-28,168.01
2021-08-29,168.41
2021-08-30,168.79
2021-08-31,168.97
2021-09-01,168.77
2021-09-02,168.69
2021-09-03,168.94
2021-09-04,168.99
2021-09-05,169.45
2021-09-06,169.94
2021-09-07,170.6
2021-09-08,171.33
2021-09-09,171.81
2021-09-10,172.05
2021-09-11,172.56
2021-09-12,172.5
2021-09-13,172.38
2021-09-14,172.36
2021-09-15,172.4
2021-09-16,172.36
2021-09-17,172.37
2021-09-18,172.36
2021-09-19,172.55
2021-09-20,172.78
2021-09-21,173.01
2021-09-22,173.31
2021-09-23,173.89
2021-09-24,174.39
2021-09-25,174.94
2021-09-26,175.46
2021-09-27,176.0
2021-09-28,176.55
2021-09-29,177.11
2021-09-30,177.3
2021-10-01,177.69
2021-10-02,178.03
2021-10-03,178.32
2021-10-04,178.49
2021-10-05,178.72
2021-10-06,178.84
2021-10-07,179.29
2021-10-08,179.48
2021-10-09,180.06
2021-10-10,180.61
2021-10-11,181.21
2021-10-12,181.77
2021-10-13,182.19
2021-10-14,182.75
2021-10-15,183.45
2021-10-16,183.74
2021-10-17,184.24
2021-10-18,184.76
2021-10-19,185.14
2021-10-20,185.63
2021-10-21,185.89
2021-10-22,186.25
2021-10-23,186.77
2021-10-24,186.98
2021-10-25,187.17
2021-10-26,187.48
2021-10-27,187.71
2021-10-28,187.99
2021-10-29,188.39
2021-10-30,188.86
2021-10-31,189.34
2021-11-01,189.89
2021-11-02,190.38
2021-11-03,190.94
2021-11-04,191.5
2021-11-05,191.92
2021-11-06,192.38
2021-11-07,193.11
2021-11-08,193.76
2021-11-09,194.45
2021-11-10,195.27
2021-11-11,196.57
2021-11-12,197.39
2021-11-13,198.42
2021-11-14,199.32
2021-11-15,200.03
2021-11-16,200.95
2021-11-17,201.78
2021-11-18,202.02
2021-11-19,202.86
2021-11-20,202.87
2021-11-21,203.35
2021-11-22,204.01
2021-11-23,204.37
2021-11-24,204.85
2021-11-25,205.07
2021-11-26,205.45
2021-11-27,206.27
2021-11-28,206.41
2021-11-29,206.5
2021-11-30,206.79
2021-12-01,206.76
2021-12-02,207.21
2021-12-03,207.44
2021-12-04,207.77
2021-12-05,208.32
2021-12-06,209.02
2021-12-07,209.33
2021-12-08,209.88
2021-12-09,210.42
2021-12-10,210.82
2021-12-11,210.83
2021-12-12,211.3
2021-12-13,211.82
2021-12-14,212.56
2021-12-15,213.45
2021-12-16,214.2
2021-12-17,215.21
2021-12-18,216.52
2021-12-19,217.41
2021-12-20,218.14
2021-12-21,218.04
2021-12-22,217.79
2021-12-23,217.54
2021-12-24,216.98
2021-12-25,216.5
2021-12-26,215.92
2021-12-27,215.31
2021-12-28,216.09
2021-12-29,216.37
2021-12-30,216.52
2021-12-31,216.61
2022-01-01,216.71
2022-01-02,216.27
2022-01-03,215.82
2022-01-04,214.92
2022-01-05,214.52
2022-01-06,214.13
2022-01-07,213.91
2022-01-08,213.23
2022-01-09,213.79
2022-01-10,214.44
2022-01-11,214.95
2022-01-12,215.57
2022-01-13,216.52
2022-01-14,217.16
2022-01-15,218.82
2022-01-16,219.73
2022-01-17,220.54
2022-01-18,221.57
2022-01-19,222.3
2022-01-20,222.78
2022-01-21,223.34
2022-01-22,222.83
2022-01-23,222.4
2022-01-24,221.96
2022-01-25,221.54
2022-01-26,221.31
2022-01-27,221.03
2022-01-28,220.89
2022-01-29,221.51
2022-01-30,222.1
2022-01-31,222.42
2022-02-01,222.84
2022-02-02,223.23
2022-02-03,223.66
2022-02-04,224.0
2022-02-05,224.13
2022-02-06,224.11
2022-02-07,224.47
2022-02-08,223.9
2022-02-09,224.0
2022-02-10,223.98
2022-02-11,224.06
2022-02-12,223.98
2022-02-13,223.9
2022-02-14,223.79
2022-02-15,223.69
2022-02-16,223.57
2022-02-17,223.59
2022-02-18,223.81
2022-02-19,223.65
2022-02-20,224.05
2022-02-21,224.57
2022-02-22,225.58
2022-02-23,226.3
2022-02-24,227.04
2022-02-25,227.52
2022-02-26,228.54
2022-02-27,229.06
2022-02-28,229.7
2022-03-01,229.64
2022-03-02,229.69
2022-03-03,229.49
2022-03-04,229.39
2022-03-05,228.89
2022-03-06,228.63
2022-03-07,228.02
2022-03-08,228.3
2022-03-09,228.25
2022-03-10,228.26
2022-03-11,228.25
2022-03-12,228.42
2022-03-13,228.32
2022-03-14,228.25
2022-03-15,227.17
2022-03-16,226.04
2022-03-17,224.93
2022-03-18,223.64
2022-03-19,222.35
2022-03-20,221.12
2022-03-21,219.42
2022-03-22,218.71
2022-03-23,218.4
2022-03-24,218.29
2022-03-25,218.5
2022-03-26,218.89
2022-03-27,219.3
2022-03-28,219.81
2022-03-29,220.03
2022-03-30,220.5
2022-03-31,220.74
2022-04-01,220.82
2022-04-02,220.6
2022-04-03,220.43
2022-04-04,220.16
2022-04-05,220.66
2022-04-06,220.41
2022-04-07,220.15
2022-04-08,219.99
2022-04-09,219.67
2022-04-10,219.03
2022-04-11,218.46
2022-04-12,217.96
2022-04-13,217.58
2022-04-14,217.45
2022-04-15,217.15
2022-04-16,217.21
2022-04-17,217.69
2022-04-18,218.45
2022-04-19,218.85
2022-04-20,219.25
2022-04-21,219.54
2022-04-22,219.95
2022-04-23,220.32
2022-04-24,220.31
2022-04-25,220.48
2022-04-26,220.41
2022-04-27,218.24
2022-04-28,218.07
2022-04-29,217.79
2022-04-30,217.66
2022-05-01,217.76
2022-05-02,217.65
2022-05-03,217.83
2022-05-04,220.16
2022-05-05,220.47
2022-05-06,221.05
2022-05-07,221.36
2022-05-08,221.73
2022-05-09,222.45
2022-05-10,222.95
2022-05-11,223.08
2022-05-12,223.17
2022-05-13,222.96
2022-05-14,222.83
2022-05-15,222.69
2022-05-16,222.48
2022-05-17,221.74
2022-05-18,221.41
2022-05-19,221.0
2022-05-20,220.67
2022-05-21,220.03
2022-05-22,219.74
2022-05-23,219.33
2022-05-24,219.4
2022-05-25,219.23
2022-05-26,219.09
2022-05-27,218.94
2022-05-28,219.13
2022-05-29,218.95
2022-05-30,218.92
2022-05-31,218.69
2022-06-01,218.49
2022-06-02,218.1
2022-06-03,217.67
2022-06-04,217.3
2022-06-05,216.81
2022-06-06,216.19
2022-06-07,215.76
2022-06-08,215.25
2022-06-09,214.97
2022-06-10,214.5
2022-06-11,214.23
2022-06-12,213.74
2022-06-13,213.37
2022-06-14,213.12
2022-06-15,212.79
2022-06-16,212.35
2022-06-17,212.17
2022-06-18,211.75
2022-06-19,211.83
2022-06-20,211.86
2022-06-21,211.78
2022-06-22,211.83
2022-06-23,211.97
2022-06-24,211.85
2022-06-25,211.28
2022-06-26,210.67
2022-06-27,209.74
2022-06-28,208.66
2022-06-29,207.52
2022-06-30,206.34
2022-07-01,205.35
2022-07-02,204.77
2022-07-03,203.97
2022-07-04,203.12
2022-07-05,202.84
2022-07-06,202.23
2022-07-07,201.69
2022-07-08,201.15
2022-07-09,200.48
2022-07-10,199.91
2022-07-11,199.69
2022-07-12,199.1
2022-07-13,198.75
2022-07-14,198.35
2022-07-15,197.95
2022-07-16,197.64
2022-07-17,197.36
2022-07-18,196.76
2022-07-19,196.03
2022-07-20,195.68
2022-07-21,195.01
2022-07-22,194.53
2022-07-23,193.72
2022-07-24,193.18
2022-07-25,192.8
2022-07-26,192.49
2022-07-27,191.79
2022-07-28,191.43
2022-07-29,190.98
2022-07-30,191.07
2022-07-31,190.77
2022-08-01,190.51
2022-08-02,190.03
2022-08-03,189.77
2022-08-04,189.47
2022-08-05,189.15
2022-08-06,188.56
2022-08-07,187.98
2022-08-08,187.55
2022-08-09,187.3
2022-08-10,186.84
2022-08-11,186.32
2022-08-12,185.59
2022-08-13,184.69
2022-08-14,184.09
2022-08-15,183.47
2022-08-16,182.85
2022-08-17,182.25
2022-08-18,181.56
2022-08-19,181.1
2022-08-20,180.89
2022-08-21,180.54
2022-08-22,180.18
2022-08-23,179.53
2022-08-24,179.46
2022-08-25,179.67
2022-08-26,179.69
2022-08-27,179.8
2022-08-28,179.71
2022-08-29,179.41
2022-08-30,179.33
2022-08-31,178.93
2022-09-01,178.31
2022-09-02,177.84
2022-09-03,177.46
2022-09-04,177.17
2022-09-05,176.95
2022-09-06,176.78
2022-09-07,176.43
2022-09-08,176.12
2022-09-09,175.8
2022-09-10,175.28
2022-09-11,174.59
2022-09-12,173.91
2022-09-13,173.29
2022-09-14,172.79
2022-09-15,172.3
2022-09-16,171.78
2022-09-17,171.06
2022-09-18,170.54
2022-09-19,169.97
2022-09-20,169.22
2022-09-21,168.71
2022-09-22,168.3
2022-09-23,167.84
2022-09-24,167.55
2022-09-25,167.23
2022-09-26,167.1
2022-09-27,167.21
2022-09-28,166.96
2022-09-29,166.62
2022-09-30,166.26
2022-10-01,166.03
2022-10-02,165.69
2022-10-03,165.3
2022-10-04,164.5
2022-10-05,163.91
2022-10-06,163.2
2022-10-07,162.37
2022-10-08,161.53
2022-10-09,160.65
2022-10-10,159.9
2022-10-11,159.42
2022-10-12,158.82
2022-10-13,158.34
2022-10-14,158.01
2022-10-15,157.51
2022-10-16,157.34
2022-10-17,157.0
2022-10-18,156.69
2022-10-19,156.27
2022-10-20,155.8
2022-10-21,155.4
2022-10-22,154.64
2022-10-23,154.08
2022-10-24,153.63
2022-10-25,153.16
2022-10-26,152.81
2022-10-27,152.64
2022-10-28,152.3
2022-10-29,152.55
2022-10-30,152.41
2022-10-31,152.34
2022-11-01,152.09
2022-11-02,151.62
2022-11-03,150.97
2022-11-04,150.5
2022-11-05,149.9
2022-11-06,149.34
2022-11-07,148.73
2022-11-08,148.26
2022-11-09,147.99
2022-11-10,147.65
2022-11-11,147.23
2022-11-12,147.02
2022-11-13,146.68
2022-11-14,146.27
2022-11-15,145.92
2022-11-16,145.61
2022-11-17,145.41
2022-11-18,145.16
2022-11-19,144.65
2022-11-20,144.35
2022-11-21,144.06
2022-11-22,143.74
2022-11-23,143.47
2022-11-24,143.19
2022-11-25,143.09
2022-11-26,143.2
2022-11-27,143.1
2022-11-28,143.01
2022-11-29,142.94
2022-11-30,142.82
2022-12-01,142.63
2022-12-02,142.14
2022-12-03,141.63
2022-12-04,141.01
2022-12-05,140.57
2022-12-06,140.0
2022-12-07,139.33
2022-12-08,138.74
2022-12-09,138.34
2022-12-10,137.79
2022-12-11,137.46
2022-12-12,137.01
2022-12-13,136.69
2022-12-14,136.68
2022-12-15,136.52
2022-12-16,136.4
2022-12-17,136.34
2022-12-18,136.26
2022-12-19,136.1
2022-12-20,136.0
2022-12-21,135.73
2022-12-22,135.53
2022-12-23,135.23
2022-12-24,135.09
2022-12-25,134.88
2022-12-26,134.78
2022-12-27,134.7
2022-12-28,134.49
2022-12-29,134.34
2022-12-30,134.28
2022-12-31,134.13
2023-01-01,133.87
2023-01-02,133.47
2023-01-03,132.99
2023-01-04,132.3
2023-01-05,131.85
2023-01-06,131.39
2023-01-07,130.86
2023-01-08,130.52
2023-01-09,130.27
2023-01-10,130.2
2023-01-11,130.35
2023-01-12,130.31
2023-01-13,130.29
2023-01-14,130.21
2023-01-15,130.34
2023-01-16,130.48
2023-01-17,130.52
2023-01-18,130.48
2023-01-19,130.46
2023-01-20,130.08
2023-01-21,129.63
2023-01-22,128.92
2023-01-23,128.08
2023-01-24,127.15
2023-01-25,126.21
2023-01-26,125.23
2023-01-27,124.6
2023-01-28,124.16
2023-01-29,123.63
2023-01-30,123.23
2023-01-31,122.86
2023-02-01,122.51
2023-02-02,121.98
2023-02-03,121.38
2023-02-04,120.78
2023-02-05,120.15
2023-02-06,119.5
2023-02-07,118.79
2023-02-08,118.1
2023-02-09,117.58
2023-02-10,117.07
2023-02-11,116.55
2023-02-12,116.07
2023-02-13,115.6
2023-02-14,115.07
2023-02-15,114.48
2023-02-16,113.87
2023-02-17,113.14
2023-02-18,112.04
2023-02-19,111.39
2023-02-20,110.79
2023-02-21,110.28
2023-02-22,109.85
2023-02-23,109.43
2023-02-24,109.04
2023-02-25,109.08
2023-02-26,108.7
2023-02-27,108.25
2023-02-28,107.82
2023-03-01,107.14
2023-03-02,106.69
2023-03-03,106.36
2023-03-04,105.97
2023-03-05,105.69
2023-03-06,105.39
2023-03-07,105.03
2023-03-08,104.78
2023-03-09,104.41
2023-03-10,104.22
2023-03-11,104.03
2023-03-12,103.7
2023-03-13,103.32
2023-03-14,103.05
2023-03-15,103.05
2023-03-16,102.99
2023-03-17,102.79
2023-03-18,102.65
2023-03-19,102.52
2023-03-20,102.43
2023-03-21,102.28
2023-03-22,102.01
2023-03-23,101.67
2023-03-24,101.34
2023-03-25,100.95
2023-03-26,100.63
2023-03-27,100.33
2023-03-28,100.04
2023-03-29,99.82
2023-03-30,99.67
2023-03-31,99.47
2023-04-01,99.35
2023-04-02,99.17
2023-04-03,98.94
2023-04-04,98.75
2023-04-05,98.55
2023-04-06,98.38
2023-04-07,98.19
2023-04-08,97.98
2023-04-09,97.8
2023-04-10,97.7
2023-04-11,97.57
2023-04-12,97.42
2023-04-13,97.22
2023-04-14,97.12
2023-04-15,96.67
2023-04-16,96.59
2023-04-17,96.46
2023-04-18,96.34
2023-04-19,96.26
2023-04-20,96.18
2023-04-21,96.03
2023-04-22,96.3
2023-04-23,96.16
2023-04-24,96.05
2023-04-25,95.87
2023-04-26,96.15
2023-04-27,96.48
2023-04-28,97.56
2023-04-29,97.33
2023-04-30,97.13
2023-05-01,96.94
2023-05-02,96.89
2023-05-03,97.11
2023-05-04,96.99
2023-05-05,96.5
2023-05-06,97.18
2023-05-07,97.83
2023-05-08,98.36
2023-05-09,98.75
2023-05-10,98.47
2023-05-11,98.39
2023-05-12,97.68
2023-05-13,97.33
2023-05-14,97.0
2023-05-15,96.78
2023-05-16,96.6
2023-05-17,96.2
2023-05-18,95.87
2023-05-19,95.77
2023-05-20,95.35
2023-05-21,95.04
2023-05-22,94.68
2023-05-23,94.35
2023-05-24,94.19
2023-05-25,94.07
2023-05-26,93.99
2023-05-27,93.87
2023-05-28,93.6
2023-05-29,93.42
2023-05-30,93.24
2023-05-31,92.9
2023-06-01,92.49
2023-06-02,92.15
2023-06-03,91.98
2023-06-04,91.85
2023-06-05,91.71
2023-06-06,91.51
2023-06-07,91.36
2023-06-08,90.59
2023-06-09,89.72
2023-06-10,88.56
2023-06-11,87.49
2023-06-12,86.38
2023-06-13,85.31
2023-06-14,84.36
2023-06-15,84.09
2023-06-16,83.83
2023-06-17,83.8
2023-06-18,83.78
2023-06-19,83.79
2023-06-20,83.82
2023-06-21,83.77
2023-06-22,83.81
2023-06-23,83.73
2023-06-24,83.59
2023-06-25,83.29
2023-06-26,82.92
2023-06-27,82.62
2023-06-28,82.33
2023-06-29,81.92
2023-06-30,81.66
2023-07-01,81.4
2023-07-02,81.23
2023-07-03,81.12
2023-07-04,80.98
2023-07-05,80.94
2023-07-06,80.86
2023-07-07,80.87
2023-07-08,80.97
2023-07-09,81.04
2023-07-10,81.13
2023-07-11,81.18
2023-07-12,81.23
2023-07-13,81.75
2023-07-14,82.26
2023-07-15,82.72
2023-07-16,83.17
2023-07-17,83.63
2023-07-18,84.07
2023-07-19,84.49
2023-07-20,84.46
2023-07-21,84.39
2023-07-22,83.98
