DATE,IHLIDXUSTPNURS
2022-03-20,168.31
2022-03-21,168.39
2022-03-22,168.49
2022-03-23,168.35
2022-03-24,168.14
2022-03-25,167.98
2022-03-26,167.86
2022-03-27,167.84
2022-03-28,167.84
2022-03-29,167.75
2022-03-30,167.78
2022-03-31,167.85
2022-04-01,167.93
2022-04-02,167.91
2022-04-03,167.75
2022-04-04,167.55
2022-04-05,167.27
2022-04-06,166.91
2022-04-07,166.58
2022-04-08,166.16
2022-04-09,165.7
2022-04-10,165.15
2022-04-11,164.6
2022-04-12,164.44
2022-04-13,164.17
2022-04-14,163.73
2022-04-15,163.39
2022-04-16,163.21
2022-04-17,163.13
2022-04-18,163.08
2022-04-19,162.9
2022-04-20,162.99
2022-04-21,163.35
2022-04-22,163.71
2022-04-23,163.89
2022-04-24,164.0
2022-04-25,164.01
2022-04-26,164.01
2022-04-27,163.54
2022-04-28,163.33
2022-04-29,163.1
2022-04-30,162.96
2022-05-01,162.98
2022-05-02,162.99
2022-05-03,163.03
2022-05-04,163.52
2022-05-05,163.52
2022-05-06,163.58
2022-05-07,163.57
2022-05-08,163.56
2022-05-09,163.61
2022-05-10,163.67
2022-05-11,163.43
2022-05-12,163.27
2022-05-13,162.98
2022-05-14,163.1
2022-05-15,163.22
2022-05-16,163.45
2022-05-17,163.54
2022-05-18,163.91
2022-05-19,164.31
2022-05-20,164.79
2022-05-21,164.89
2022-05-22,165.09
2022-05-23,165.14
2022-05-24,165.27
2022-05-25,165.29
2022-05-26,165.02
2022-05-27,165.0
2022-05-28,165.05
2022-05-29,165.0
2022-05-30,165.06
2022-05-31,165.07
2022-06-01,165.12
2022-06-02,165.3
2022-06-03,164.9
2022-06-04,164.89
2022-06-05,164.88
2022-06-06,164.83
2022-06-07,164.81
2022-06-08,164.82
2022-06-09,164.58
2022-06-10,164.46
2022-06-11,164.11
2022-06-12,163.68
2022-06-13,163.33
2022-06-14,162.84
2022-06-15,162.35
2022-06-16,162.25
2022-06-17,162.44
2022-06-18,162.53
2022-06-19,162.68
2022-06-20,162.78
2022-06-21,162.98
2022-06-22,163.17
2022-06-23,163.3
2022-06-24,163.16
2022-06-25,162.85
2022-06-26,162.73
2022-06-27,162.6
2022-06-28,162.52
2022-06-29,162.43
2022-06-30,162.35
2022-07-01,162.23
2022-07-02,162.41
2022-07-03,162.34
2022-07-04,162.31
2022-07-05,162.17
2022-07-06,162.15
2022-07-07,162.1
2022-07-08,162.43
2022-07-09,162.7
2022-07-10,163.07
2022-07-11,163.43
2022-07-12,163.77
2022-07-13,163.88
2022-07-14,163.99
2022-07-15,163.94
2022-07-16,163.85
2022-07-17,163.8
2022-07-18,163.79
2022-07-19,163.97
2022-07-20,164.13
2022-07-21,164.23
2022-07-22,164.6
2022-07-23,164.93
2022-07-24,165.38
2022-07-25,165.8
2022-07-26,166.11
2022-07-27,166.54
2022-07-28,167.0
2022-07-29,167.24
2022-07-30,167.48
2022-07-31,167.51
2022-08-01,167.52
2022-08-02,167.47
2022-08-03,167.44
2022-08-04,167.43
2022-08-05,167.51
2022-08-06,167.59
2022-08-07,167.58
2022-08-08,167.49
2022-08-09,167.47
2022-08-10,167.33
2022-08-11,167.24
2022-08-12,167.14
2022-08-13,166.9
2022-08-14,166.85
2022-08-15,166.81
2022-08-16,166.67
2022-08-17,166.46
2022-08-18,166.18
2022-08-19,165.88
2022-08-20,165.7
2022-08-21,165.5
2022-08-22,165.35
2022-08-23,165.28
2022-08-24,165.4
2022-08-25,165.48
2022-08-26,165.63
2022-08-27,165.76
2022-08-28,165.77
2022-08-29,165.76
2022-08-30,165.83
2022-08-31,165.94
2022-09-01,166.0
2022-09-02,165.96
2022-09-03,165.99
2022-09-04,166.12
2022-09-05,166.32
2022-09-06,166.41
2022-09-07,166.35
2022-09-08,166.4
2022-09-09,166.5
2022-09-10,166.6
2022-09-11,166.59
2022-09-12,166.57
2022-09-13,166.61
2022-09-14,166.73
2022-09-15,166.82
2022-09-16,166.92
2022-09-17,166.94
2022-09-18,166.98
2022-09-19,166.98
2022-09-20,166.91
2022-09-21,166.88
2022-09-22,166.97
2022-09-23,166.96
2022-09-24,167.19
2022-09-25,167.5
2022-09-26,167.66
2022-09-27,167.83
2022-09-28,167.86
2022-09-29,167.56
2022-09-30,167.28
2022-10-01,167.01
2022-10-02,166.63
2022-10-03,166.37
2022-10-04,165.98
2022-10-05,165.89
2022-10-06,165.98
2022-10-07,166.17
2022-10-08,166.25
2022-10-09,166.22
2022-10-10,166.3
2022-10-11,166.53
2022-10-12,166.53
2022-10-13,166.84
2022-10-14,167.0
2022-10-15,166.93
2022-10-16,167.12
2022-10-17,167.28
2022-10-18,167.36
2022-10-19,167.2
2022-10-20,166.93
2022-10-21,166.73
2022-10-22,166.33
2022-10-23,166.15
2022-10-24,165.96
2022-10-25,165.69
2022-10-26,165.61
2022-10-27,165.32
2022-10-28,164.89
2022-10-29,164.84
2022-10-30,164.34
2022-10-31,163.81
2022-11-01,163.41
