DATE,IHLIDXUSTPMARK
2021-04-28,121.06
2021-04-29,121.38
2021-04-30,121.61
2021-05-01,121.82
2021-05-02,122.05
2021-05-03,122.4
2021-05-04,122.87
2021-05-05,123.42
2021-05-06,123.92
2021-05-07,124.36
2021-05-08,125.01
2021-05-09,125.66
2021-05-10,126.18
2021-05-11,126.62
2021-05-12,127.09
2021-05-13,127.53
2021-05-14,128.0
2021-05-15,128.16
2021-05-16,128.28
2021-05-17,128.34
2021-05-18,128.21
2021-05-19,127.93
2021-05-20,127.78
2021-05-21,127.57
2021-05-22,127.1
2021-05-23,127.07
2021-05-24,127.03
2021-05-25,127.29
2021-05-26,127.61
2021-05-27,127.85
2021-05-28,128.16
2021-05-29,128.88
2021-05-30,129.25
2021-05-31,129.71
2021-06-01,129.88
2021-06-02,130.16
2021-06-03,130.43
2021-06-04,130.8
2021-06-05,131.17
2021-06-06,131.67
2021-06-07,132.16
2021-06-08,132.92
2021-06-09,133.68
2021-06-10,134.36
2021-06-11,134.96
2021-06-12,135.33
2021-06-13,135.58
2021-06-14,135.81
2021-06-15,135.9
2021-06-16,135.76
2021-06-17,135.61
2021-06-18,135.32
2021-06-19,135.29
2021-06-20,135.25
2021-06-21,135.19
2021-06-22,135.21
2021-06-23,135.54
2021-06-24,135.86
2021-06-25,136.29
2021-06-26,136.94
2021-06-27,137.4
2021-06-28,138.02
2021-06-29,138.64
2021-06-30,139.01
2021-07-01,139.39
2021-07-02,139.77
2021-07-03,139.92
2021-07-04,140.35
2021-07-05,140.67
2021-07-06,140.97
2021-07-07,141.24
2021-07-08,141.61
2021-07-09,142.03
2021-07-10,142.33
2021-07-11,142.53
2021-07-12,142.68
2021-07-13,142.81
2021-07-14,142.93
2021-07-15,143.07
2021-07-16,143.06
2021-07-17,142.93
2021-07-18,143.02
2021-07-19,143.16
2021-07-20,143.32
2021-07-21,143.17
2021-07-22,142.89
2021-07-23,142.55
2021-07-24,142.3
2021-07-25,141.85
2021-07-26,141.28
2021-07-27,140.7
2021-07-28,140.48
2021-07-29,140.32
2021-07-30,140.19
2021-07-31,140.35
2021-08-01,140.34
2021-08-02,140.46
2021-08-03,140.78
2021-08-04,141.18
2021-08-05,141.47
2021-08-06,141.88
2021-08-07,141.66
2021-08-08,141.91
2021-08-09,142.18
2021-08-10,142.27
2021-08-11,142.33
2021-08-12,142.53
2021-08-13,142.7
2021-08-14,143.25
2021-08-15,143.46
2021-08-16,143.6
2021-08-17,143.82
2021-08-18,143.87
2021-08-19,144.11
2021-08-20,144.47
2021-08-21,145.16
2021-08-22,145.93
2021-08-23,146.69
2021-08-24,147.3
2021-08-25,148.03
2021-08-26,148.6
2021-08-27,148.98
2021-08-28,149.04
2021-08-29,149.16
2021-08-30,149.36
2021-08-31,149.57
2021-09-01,149.67
2021-09-02,149.77
2021-09-03,149.98
2021-09-04,149.86
2021-09-05,149.97
2021-09-06,150.12
2021-09-07,150.17
2021-09-08,150.33
2021-09-09,150.44
2021-09-10,150.66
2021-09-11,151.22
2021-09-12,151.43
2021-09-13,151.62
2021-09-14,151.95
2021-09-15,152.44
2021-09-16,152.92
2021-09-17,153.29
2021-09-18,153.69
2021-09-19,154.17
2021-09-20,154.73
