DATE,IHLIDXUSTPPRMA
2021-08-30,182.16
2021-08-31,182.34
2021-09-01,182.35
2021-09-02,182.47
2021-09-03,182.84
2021-09-04,182.89
2021-09-05,183.39
2021-09-06,183.95
2021-09-07,184.37
2021-09-08,184.97
2021-09-09,185.52
2021-09-10,185.96
2021-09-11,186.66
2021-09-12,186.8
2021-09-13,186.89
2021-09-14,187.13
2021-09-15,187.42
2021-09-16,187.42
2021-09-17,187.35
2021-09-18,187.25
2021-09-19,187.26
2021-09-20,187.18
2021-09-21,187.12
2021-09-22,187.02
2021-09-23,187.11
2021-09-24,187.19
2021-09-25,187.19
2021-09-26,187.17
2021-09-27,187.21
2021-09-28,187.3
2021-09-29,187.47
2021-09-30,187.59
2021-10-01,187.72
2021-10-02,188.15
2021-10-03,188.52
2021-10-04,188.83
2021-10-05,189.11
2021-10-06,189.42
2021-10-07,189.84
2021-10-08,190.42
2021-10-09,190.94
2021-10-10,191.41
2021-10-11,191.88
2021-10-12,192.44
2021-10-13,192.66
2021-10-14,192.88
2021-10-15,193.03
2021-10-16,192.98
2021-10-17,193.38
2021-10-18,193.79
2021-10-19,194.04
2021-10-20,194.56
2021-10-21,195.03
2021-10-22,195.52
2021-10-23,196.17
2021-10-24,196.29
2021-10-25,196.51
2021-10-26,196.82
2021-10-27,196.93
2021-10-28,197.28
2021-10-29,197.45
2021-10-30,197.7
2021-10-31,197.95
2021-11-01,198.32
2021-11-02,198.63
2021-11-03,199.13
2021-11-04,199.52
2021-11-05,200.18
2021-11-06,200.16
2021-11-07,200.72
2021-11-08,201.13
2021-11-09,201.53
2021-11-10,201.85
2021-11-11,202.17
2021-11-12,202.24
2021-11-13,202.93
2021-11-14,203.29
2021-11-15,203.64
2021-11-16,204.17
2021-11-17,204.64
2021-11-18,205.14
2021-11-19,205.82
2021-11-20,205.88
2021-11-21,206.51
2021-11-22,207.18
2021-11-23,207.77
2021-11-24,208.44
2021-11-25,209.07
2021-11-26,209.57
2021-11-27,210.45
2021-11-28,210.71
2021-11-29,210.87
2021-11-30,211.0
2021-12-01,210.81
2021-12-02,210.64
2021-12-03,210.49
2021-12-04,210.69
2021-12-05,211.06
2021-12-06,211.53
2021-12-07,211.96
2021-12-08,212.59
2021-12-09,213.26
2021-12-10,214.05
2021-12-11,214.06
2021-12-12,214.44
2021-12-13,214.99
2021-12-14,215.66
2021-12-15,215.95
2021-12-16,215.98
2021-12-17,216.32
2021-12-18,216.92
2021-12-19,217.05
2021-12-20,216.91
2021-12-21,216.72
2021-12-22,216.76
2021-12-23,216.9
2021-12-24,216.6
2021-12-25,216.42
2021-12-26,216.5
2021-12-27,216.85
2021-12-28,217.23
2021-12-29,217.47
2021-12-30,217.66
2021-12-31,217.42
2022-01-01,217.07
2022-01-02,215.51
2022-01-03,213.51
2022-01-04,211.44
2022-01-05,209.84
2022-01-06,208.0
2022-01-07,206.84
2022-01-08,205.29
2022-01-09,205.05
2022-01-10,204.84
2022-01-11,204.67
2022-01-12,204.26
2022-01-13,204.02
2022-01-14,203.32
2022-01-15,203.46
2022-01-16,203.32
2022-01-17,203.16
2022-01-18,202.87
2022-01-19,202.53
2022-01-20,202.25
2022-01-21,202.18
2022-01-22,201.58
2022-01-23,200.91
2022-01-24,200.36
2022-01-25,200.05
2022-01-26,199.97
2022-01-27,199.88
2022-01-28,199.81
2022-01-29,200.41
2022-01-30,201.13
2022-01-31,201.91
2022-02-01,202.5
2022-02-02,203.0
2022-02-03,203.78
2022-02-04,204.71
2022-02-05,205.33
2022-02-06,205.85
2022-02-07,206.33
2022-02-08,206.88
2022-02-09,207.57
2022-02-10,208.23
2022-02-11,208.77
2022-02-12,209.02
2022-02-13,209.18
2022-02-14,209.28
2022-02-15,209.46
2022-02-16,209.58
2022-02-17,209.54
2022-02-18,209.52
2022-02-19,209.17
2022-02-20,209.32
2022-02-21,209.47
2022-02-22,209.4
2022-02-23,209.22
2022-02-24,209.13
2022-02-25,208.91
2022-02-26,209.44
2022-02-27,209.18
2022-02-28,208.97
2022-03-01,208.82
2022-03-02,208.72
2022-03-03,208.63
2022-03-04,208.6
2022-03-05,208.14
2022-03-06,208.24
2022-03-07,208.31
2022-03-08,208.55
2022-03-09,208.78
2022-03-10,208.84
2022-03-11,208.91
2022-03-12,209.13
2022-03-13,209.01
2022-03-14,208.93
2022-03-15,208.72
2022-03-16,208.56
2022-03-17,208.56
2022-03-18,208.44
2022-03-19,208.35
2022-03-20,208.14
2022-03-21,207.98
2022-03-22,207.85
2022-03-23,207.34
2022-03-24,207.1
2022-03-25,207.08
2022-03-26,207.01
2022-03-27,207.03
2022-03-28,206.88
2022-03-29,206.71
2022-03-30,206.9
2022-03-31,206.7
2022-04-01,206.29
2022-04-02,206.11
2022-04-03,205.88
2022-04-04,205.69
2022-04-05,205.43
2022-04-06,205.12
2022-04-07,204.79
2022-04-08,204.6
2022-04-09,203.68
2022-04-10,202.61
2022-04-11,201.59
2022-04-12,200.42
2022-04-13,199.18
2022-04-14,198.04
2022-04-15,196.88
2022-04-16,196.33
2022-04-17,195.86
2022-04-18,195.36
2022-04-19,195.16
2022-04-20,195.14
2022-04-21,195.11
2022-04-22,195.38
2022-04-23,195.79
2022-04-24,196.05
2022-04-25,196.35
2022-04-26,196.58
2022-04-27,196.5
2022-04-28,196.63
2022-04-29,196.44
2022-04-30,196.05
2022-05-01,195.99
2022-05-02,195.97
2022-05-03,195.92
2022-05-04,196.22
2022-05-05,196.48
2022-05-06,196.74
2022-05-07,196.74
2022-05-08,196.87
2022-05-09,197.03
2022-05-10,197.27
2022-05-11,197.29
2022-05-12,197.2
2022-05-13,197.05
2022-05-14,197.39
2022-05-15,197.45
2022-05-16,197.46
2022-05-17,197.38
2022-05-18,197.34
2022-05-19,197.21
2022-05-20,197.16
2022-05-21,196.39
2022-05-22,196.31
2022-05-23,196.24
2022-05-24,196.19
2022-05-25,196.09
2022-05-26,196.02
2022-05-27,195.99
2022-05-28,196.58
2022-05-29,196.59
2022-05-30,196.7
2022-05-31,196.65
2022-06-01,197.17
2022-06-02,197.06
2022-06-03,196.87
2022-06-04,196.69
2022-06-05,196.38
2022-06-06,195.91
2022-06-07,195.64
2022-06-08,194.86
2022-06-09,194.65
2022-06-10,194.35
2022-06-11,194.25
2022-06-12,193.93
2022-06-13,193.74
2022-06-14,193.51
2022-06-15,193.06
2022-06-16,192.79
2022-06-17,192.59
2022-06-18,192.17
2022-06-19,192.11
2022-06-20,192.0
2022-06-21,191.76
2022-06-22,191.82
2022-06-23,191.72
2022-06-24,191.57
2022-06-25,191.02
2022-06-26,190.7
2022-06-27,190.4
2022-06-28,190.35
2022-06-29,190.31
2022-06-30,190.21
2022-07-01,190.02
2022-07-02,190.37
2022-07-03,190.51
2022-07-04,190.62
2022-07-05,190.59
2022-07-06,190.48
2022-07-07,190.56
2022-07-08,190.74
2022-07-09,190.51
2022-07-10,190.47
2022-07-11,190.48
2022-07-12,190.62
2022-07-13,190.79
2022-07-14,190.86
2022-07-15,191.03
2022-07-16,191.34
2022-07-17,191.41
2022-07-18,191.42
2022-07-19,191.37
2022-07-20,191.09
2022-07-21,190.77
2022-07-22,190.49
2022-07-23,189.78
2022-07-24,189.34
2022-07-25,188.83
2022-07-26,188.19
2022-07-27,187.9
2022-07-28,187.65
2022-07-29,187.22
2022-07-30,187.48
2022-07-31,187.35
2022-08-01,187.35
2022-08-02,187.25
2022-08-03,187.08
2022-08-04,186.93
2022-08-05,187.01
2022-08-06,186.97
2022-08-07,187.01
2022-08-08,187.01
2022-08-09,187.24
2022-08-10,187.43
2022-08-11,187.57
2022-08-12,187.7
2022-08-13,187.4
2022-08-14,187.63
2022-08-15,187.89
2022-08-16,188.08
2022-08-17,188.18
2022-08-18,188.35
2022-08-19,188.48
2022-08-20,189.01
2022-08-21,188.93
2022-08-22,189.01
2022-08-23,189.03
2022-08-24,189.16
2022-08-25,189.21
2022-08-26,189.28
2022-08-27,189.4
2022-08-28,189.41
2022-08-29,189.35
2022-08-30,189.53
2022-08-31,189.62
2022-09-01,189.67
2022-09-02,189.67
2022-09-03,189.66
2022-09-04,190.11
2022-09-05,190.52
2022-09-06,190.58
2022-09-07,190.66
2022-09-08,190.87
2022-09-09,191.08
2022-09-10,191.33
2022-09-11,191.17
2022-09-12,190.99
2022-09-13,190.98
2022-09-14,190.91
2022-09-15,190.81
2022-09-16,190.76
2022-09-17,190.67
2022-09-18,190.76
2022-09-19,190.71
2022-09-20,190.5
2022-09-21,190.52
2022-09-22,190.46
2022-09-23,190.44
2022-09-24,190.44
2022-09-25,190.48
2022-09-26,190.64
2022-09-27,190.95
2022-09-28,191.05
2022-09-29,190.93
2022-09-30,190.71
2022-10-01,190.74
2022-10-02,190.72
2022-10-03,190.72
2022-10-04,190.65
2022-10-05,190.65
2022-10-06,190.86
2022-10-07,190.97
2022-10-08,191.02
2022-10-09,190.87
2022-10-10,190.68
2022-10-11,190.52
2022-10-12,190.33
2022-10-13,190.3
2022-10-14,190.36
2022-10-15,189.93
2022-10-16,190.02
2022-10-17,190.05
2022-10-18,190.08
2022-10-19,189.98
2022-10-20,189.58
2022-10-21,189.24
2022-10-22,188.54
2022-10-23,188.16
2022-10-24,187.79
2022-10-25,187.43
2022-10-26,187.17
2022-10-27,187.16
2022-10-28,187.06
2022-10-29,187.68
2022-10-30,187.79
2022-10-31,188.02
2022-11-01,188.19
2022-11-02,188.41
2022-11-03,188.51
2022-11-04,188.82
2022-11-05,189.07
2022-11-06,189.35
2022-11-07,189.56
2022-11-08,189.86
2022-11-09,190.08
2022-11-10,190.35
2022-11-11,190.31
2022-11-12,190.41
2022-11-13,190.46
2022-11-14,190.45
2022-11-15,190.4
2022-11-16,190.41
2022-11-17,190.45
2022-11-18,190.68
2022-11-19,190.46
2022-11-20,190.38
2022-11-21,190.16
2022-11-22,190.11
2022-11-23,189.92
2022-11-24,189.89
2022-11-25,189.82
2022-11-26,190.07
2022-11-27,190.14
2022-11-28,190.41
2022-11-29,190.54
2022-11-30,190.69
2022-12-01,190.42
2022-12-02,190.15
2022-12-03,190.01
2022-12-04,189.89
2022-12-05,189.95
2022-12-06,189.93
2022-12-07,189.95
2022-12-08,190.1
2022-12-09,190.32
2022-12-10,190.4
2022-12-11,190.7
2022-12-12,190.88
2022-12-13,191.34
2022-12-14,191.89
2022-12-15,192.37
2022-12-16,192.75
2022-12-17,193.1
2022-12-18,193.31
2022-12-19,193.57
2022-12-20,193.42
2022-12-21,193.37
2022-12-22,193.32
2022-12-23,193.26
2022-12-24,193.38
2022-12-25,193.4
2022-12-26,193.51
2022-12-27,193.86
2022-12-28,194.07
2022-12-29,194.28
2022-12-30,194.4
2022-12-31,194.14
2023-01-01,193.48
2023-01-02,192.43
2023-01-03,191.08
2023-01-04,189.59
2023-01-05,188.2
2023-01-06,186.97
2023-01-07,185.85
2023-01-08,185.19
2023-01-09,184.63
2023-01-10,184.31
2023-01-11,184.19
2023-01-12,184.05
2023-01-13,183.76
2023-01-14,183.2
2023-01-15,182.7
2023-01-16,182.49
2023-01-17,182.25
2023-01-18,181.9
2023-01-19,181.47
2023-01-20,180.98
2023-01-21,180.57
2023-01-22,180.13
2023-01-23,179.42
2023-01-24,178.69
2023-01-25,178.06
2023-01-26,177.47
2023-01-27,176.99
2023-01-28,176.7
2023-01-29,176.31
2023-01-30,176.05
2023-01-31,175.78
2023-02-01,175.43
2023-02-02,174.99
2023-02-03,174.64
2023-02-04,174.54
2023-02-05,174.42
2023-02-06,174.27
2023-02-07,174.13
2023-02-08,174.04
2023-02-09,173.84
2023-02-10,173.61
2023-02-11,173.18
2023-02-12,172.69
2023-02-13,172.25
2023-02-14,171.85
2023-02-15,171.44
2023-02-16,171.33
2023-02-17,171.16
2023-02-18,170.28
2023-02-19,170.11
2023-02-20,169.92
2023-02-21,169.62
2023-02-22,169.54
2023-02-23,169.67
2023-02-24,169.61
2023-02-25,170.34
2023-02-26,170.44
2023-02-27,170.45
2023-02-28,170.53
2023-03-01,169.93
2023-03-02,169.44
2023-03-03,169.2
2023-03-04,168.87
2023-03-05,168.77
2023-03-06,168.69
2023-03-07,168.49
2023-03-08,168.6
2023-03-09,168.58
2023-03-10,169.19
2023-03-11,169.89
2023-03-12,170.19
2023-03-13,170.46
2023-03-14,170.79
2023-03-15,171.24
2023-03-16,171.37
2023-03-17,171.08
2023-03-18,170.73
2023-03-19,170.48
2023-03-20,170.37
2023-03-21,170.28
2023-03-22,170.2
2023-03-23,170.16
2023-03-24,170.06
2023-03-25,169.79
2023-03-26,169.7
2023-03-27,169.49
2023-03-28,169.27
2023-03-29,169.1
2023-03-30,169.02
2023-03-31,168.76
2023-04-01,168.52
2023-04-02,168.21
2023-04-03,167.91
2023-04-04,167.77
2023-04-05,167.59
2023-04-06,167.32
2023-04-07,167.13
2023-04-08,167.08
2023-04-09,166.9
2023-04-10,166.73
2023-04-11,166.43
2023-04-12,166.19
2023-04-13,165.97
2023-04-14,165.57
2023-04-15,164.75
2023-04-16,164.51
2023-04-17,164.19
2023-04-18,163.97
2023-04-19,163.77
2023-04-20,163.65
2023-04-21,163.63
2023-04-22,164.28
2023-04-23,164.27
2023-04-24,164.42
2023-04-25,164.45
2023-04-26,164.4
2023-04-27,164.32
2023-04-28,164.27
2023-04-29,164.0
2023-04-30,163.84
2023-05-01,163.66
2023-05-02,163.57
2023-05-03,163.42
2023-05-04,163.0
2023-05-05,162.97
2023-05-06,163.01
2023-05-07,163.0
2023-05-08,162.9
2023-05-09,162.76
2023-05-10,162.74
2023-05-11,162.95
2023-05-12,161.69
2023-05-13,161.5
2023-05-14,161.38
2023-05-15,161.3
2023-05-16,161.16
2023-05-17,161.03
2023-05-18,160.91
2023-05-19,161.71
2023-05-20,161.45
2023-05-21,161.28
2023-05-22,161.12
2023-05-23,160.93
2023-05-24,160.78
2023-05-25,160.58
2023-05-26,160.46
2023-05-27,160.4
2023-05-28,160.14
2023-05-29,159.95
2023-05-30,159.73
2023-05-31,159.45
2023-06-01,159.19
2023-06-02,158.97
2023-06-03,158.67
2023-06-04,158.35
2023-06-05,158.02
2023-06-06,157.87
2023-06-07,157.79
2023-06-08,157.84
2023-06-09,157.89
2023-06-10,157.71
2023-06-11,157.7
2023-06-12,157.69
2023-06-13,157.5
